# generated by unwrap_scan from RustPython @ 3290f287f (regenerate: cargo run --release -- $RUSTPYTHON_ROOT)
# module	name	kind	reachable	pattern	file:line
_asyncio	PyFuture._callbacks	getset	py	unwrap	crates/stdlib/src/_asyncio.rs:629
_asyncio	PyFuture.add_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:358
_asyncio	PyFuture.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:391
_asyncio	PyFuture.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:403
_asyncio	PyFuture.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:404
_asyncio	PyFuture.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:427
_asyncio	PyFuture.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:440
_asyncio	PyFuture.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:441
_asyncio	PyFuture.result	method	py	unwrap	crates/stdlib/src/_asyncio.rs:229
_asyncio	PyFuture.set_exception	method	py	unwrap	crates/stdlib/src/_asyncio.rs:312
_asyncio	PyFutureIter.throw	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1041
_asyncio	PyFutureIter.throw	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1081
_asyncio	PyTask.add_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1347
_asyncio	PyTask.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1380
_asyncio	PyTask.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1392
_asyncio	PyTask.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1393
_asyncio	PyTask.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1416
_asyncio	PyTask.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1429
_asyncio	PyTask.remove_done_callback	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1430
_asyncio	PyTask.result	method	py	unwrap	crates/stdlib/src/_asyncio.rs:1254
_asyncio	_enter_task	fn	py	unwrap	crates/stdlib/src/_asyncio.rs:2494
_asyncio	current_task	fn	py	unwrap	crates/stdlib/src/_asyncio.rs:2408
_bz2	BZ2Compressor.compress	method	py	unwrap	crates/stdlib/src/bz2.rs:172
_bz2	BZ2Compressor.flush	method	py	unwrap	crates/stdlib/src/bz2.rs:187
_codecs_windows	mbcs_decode	fn	py	unwrap	crates/vm/src/stdlib/_codecs.rs:488
_codecs_windows	oem_decode	fn	py	unwrap	crates/vm/src/stdlib/_codecs.rs:613
_collections	PyDeque.remove	method	py	unwrap	crates/vm/src/stdlib/_collections.rs:242
_csv	PyDialect.lineterminator	getset	py	unreachable	crates/stdlib/src/csv.rs:112
_csv	field_size_limit	fn	py	unwrap	crates/stdlib/src/csv.rs:389
_ctypes	LoadLibrary	fn	py	unwrap	crates/vm/src/stdlib/_ctypes.rs:428
_ctypes	PyCPointerType.set_type	method	py	expect	crates/vm/src/stdlib/_ctypes/pointer.rs:202
_ctypes	PyCSimple.value	getset	py	unreachable	crates/vm/src/stdlib/_ctypes/simple.rs:1120
_ctypes	PyCSimple.value	getset	py	unreachable	crates/vm/src/stdlib/_ctypes/simple.rs:1130
_ctypes	_check_HRESULT	fn	py	todo	crates/vm/src/stdlib/_ctypes.rs:579
_ctypes	_pointer_type_cache	fn	py	todo	crates/vm/src/stdlib/_ctypes.rs:570
_ctypes	alignment	fn	py	expect	crates/vm/src/stdlib/_ctypes.rs:702
